when,cpus,mem_mib,files,total_mib,pattern,case,threads,run,seconds,mode
2026-09-22T20:05:45,2,7209,2,12672,"東京",single_old,1,1,14.816,warm
2026-09-22T20:05:45,2,7209,2,12672,"東京",single_new,1,1,14.537,warm
2026-09-22T20:06:13,2,7209,2,12672,"東京",single_old,1,2,14.526,warm
2026-09-22T20:06:13,2,7209,2,12672,"東京",single_new,1,2,14.365,warm
2026-09-22T20:06:42,2,7209,2,12672,"東京",single_old,1,3,14.204,warm
2026-09-22T20:06:42,2,7209,2,12672,"東京",single_new,1,3,14.268,warm
2026-09-22T20:07:01,2,7209,2,12672,"東京",many_old_serial,1,1,18.902,warm
2026-09-22T20:07:19,2,7209,2,12672,"東京",many_old_serial,1,2,18.285,warm
2026-09-22T20:07:38,2,7209,2,12672,"東京",many_old_serial,1,3,18.594,warm
2026-09-22T20:07:57,2,7209,2,12672,"東京",many_new,1,1,18.740,warm
2026-09-22T20:08:15,2,7209,2,12672,"東京",many_new,1,2,18.829,warm
2026-09-22T20:08:35,2,7209,2,12672,"東京",many_new,1,3,19.056,warm
2026-09-22T20:08:54,2,7209,2,12672,"東京",many_new,2,1,19.448,warm
2026-09-22T20:09:15,2,7209,2,12672,"東京",many_new,2,2,21.015,warm
2026-09-22T20:09:35,2,7209,2,12672,"東京",many_new,2,3,20.403,warm
2026-09-22T20:09:55,2,7209,2,12672,"東京",many_new,4,1,20.026,warm
2026-09-22T20:10:16,2,7209,2,12672,"東京",many_new,4,2,20.108,warm
2026-09-22T20:10:36,2,7209,2,12672,"東京",many_new,4,3,20.608,warm
2026-09-22T20:10:57,2,7209,2,12672,"東京",many_new,8,1,20.344,warm
2026-09-22T20:11:17,2,7209,2,12672,"東京",many_new,8,2,20.405,warm
2026-09-22T20:11:38,2,7209,2,12672,"東京",many_new,8,3,20.582,warm
