when,cpus,mem_mib,files,total_mib,pattern,case,threads,run,seconds,mode
2026-09-22T20:34:18,8,16023,2,12672,"東京",single_old,1,1,11.978,warm
2026-09-22T20:34:18,8,16023,2,12672,"東京",single_new,1,1,9.419,warm
2026-09-22T20:34:34,8,16023,2,12672,"東京",single_old,1,2,8.077,warm
2026-09-22T20:34:34,8,16023,2,12672,"東京",single_new,1,2,8.244,warm
2026-09-22T20:34:51,8,16023,2,12672,"東京",single_old,1,3,8.164,warm
2026-09-22T20:34:51,8,16023,2,12672,"東京",single_new,1,3,8.291,warm
2026-09-22T20:35:03,8,16023,2,12672,"東京",many_old_serial,1,1,11.788,warm
2026-09-22T20:35:14,8,16023,2,12672,"東京",many_old_serial,1,2,10.971,warm
2026-09-22T20:35:26,8,16023,2,12672,"東京",many_old_serial,1,3,11.007,warm
2026-09-22T20:35:36,8,16023,2,12672,"東京",many_new,1,1,10.502,warm
2026-09-22T20:35:47,8,16023,2,12672,"東京",many_new,1,2,10.594,warm
2026-09-22T20:35:58,8,16023,2,12672,"東京",many_new,1,3,10.655,warm
2026-09-22T20:36:08,8,16023,2,12672,"東京",many_new,2,1,9.165,warm
2026-09-22T20:36:17,8,16023,2,12672,"東京",many_new,2,2,9.221,warm
2026-09-22T20:36:26,8,16023,2,12672,"東京",many_new,2,3,9.228,warm
2026-09-22T20:36:36,8,16023,2,12672,"東京",many_new,4,1,9.236,warm
2026-09-22T20:36:45,8,16023,2,12672,"東京",many_new,4,2,9.246,warm
2026-09-22T20:36:55,8,16023,2,12672,"東京",many_new,4,3,9.325,warm
2026-09-22T20:37:04,8,16023,2,12672,"東京",many_new,8,1,9.160,warm
2026-09-22T20:37:13,8,16023,2,12672,"東京",many_new,8,2,9.036,warm
2026-09-22T20:37:23,8,16023,2,12672,"東京",many_new,8,3,9.075,warm
